step,error
1335,1.91796
1336,1.91725
1337,1.91656
1338,1.91597
1339,1.91532
1340,1.91465
1341,1.9141
1342,1.91351
1343,1.91296
1344,1.91237
1345,1.91182
1346,1.91128
1347,1.9107
1348,1.91008
1349,1.90948
1350,1.90884
1351,1.90826
1352,1.90759
1353,1.90695
1354,1.90638
1355,1.90571
1356,1.90517
1357,1.9045
1358,1.90388
1359,1.90332
1360,1.90276
1361,1.90207
1362,1.90138
1363,1.90078
1364,1.9002
1365,1.89954
1366,1.89891
1367,1.89833
1368,1.8977
1369,1.897
1370,1.89631
1371,1.89571
1372,1.89518
1373,1.89461
1374,1.89399
1375,1.89337
1376,1.89278
1377,1.89213
1378,1.89146
1379,1.89079
1380,1.89026
1381,1.88965
1382,1.88912
1383,1.88844
1384,1.88792
1385,1.88734
1386,1.8867
1387,1.88616
1388,1.88562
1389,1.88508
1390,1.88449
1391,1.88391
1392,1.88339
1393,1.88282
1394,1.88217
1395,1.88159
1396,1.88107
1397,1.8805
1398,1.87986
1399,1.87922
1400,1.87866
1401,1.87803
1402,1.87734
1403,1.87675
1404,1.87609
1405,1.87546
1406,1.87479
1407,1.87425
1408,1.87369
1409,1.87305
1410,1.87236
1411,1.87178
1412,1.87128
1413,1.87076
1414,1.87021
1415,1.86968
1416,1.86909
1417,1.86842
1418,1.86786
1419,1.86725
1420,1.86656
1421,1.86593
1422,1.86526
1423,1.86476
1424,1.86408
1425,1.86346
1426,1.86288
1427,1.8622
1428,1.86154
1429,1.86104
1430,1.86043
1431,1.85991
1432,1.85929
1433,1.85867
1434,1.85808
1435,1.8575
1436,1.85698
1437,1.85642
1438,1.85581
1439,1.85524
1440,1.85457
1441,1.85396
1442,1.85332
1443,1.85265
1444,1.85203
1445,1.85137
1446,1.85087
1447,1.85019
1448,1.84955
1449,1.84899
1450,1.84841
1451,1.84778
1452,1.84711
1453,1.84656
1454,1.84593
1455,1.84528
1456,1.84463
1457,1.84394
1458,1.84331
1459,1.84268
1460,1.84199
1461,1.84146
1462,1.84082
1463,1.8402
1464,1.83957
1465,1.83906
1466,1.83837
1467,1.83773
1468,1.83716
1469,1.83657
1470,1.83605
1471,1.83552
1472,1.83484
1473,1.83421
1474,1.8337
1475,1.8331
1476,1.83249
1477,1.83198
1478,1.83139
1479,1.83085
1480,1.83029
1481,1.82964
1482,1.82898
1483,1.82845
1484,1.82793
1485,1.82734
1486,1.82667
1487,1.826
1488,1.82542
1489,1.82482
1490,1.82422
1491,1.82363
1492,1.823
1493,1.82247
1494,1.82179
1495,1.82122
1496,1.82068
1497,1.82
1498,1.81949
1499,1.81889
1500,1.8183
1501,1.81778
1502,1.81715
1503,1.81657
1504,1.81592
1505,1.81528
1506,1.81461
1507,1.81405
1508,1.8134
1509,1.81283
1510,1.81223
1511,1.81171
1512,1.81117
1513,1.81061
1514,1.81007
1515,1.8095
1516,1.80887
1517,1.80835
1518,1.80781
1519,1.80729
1520,1.80667
1521,1.80603
1522,1.80543
1523,1.80487
1524,1.80421
1525,1.80361
1526,1.80299
1527,1.80248
1528,1.80189
1529,1.80126
1530,1.80065
1531,1.79998
1532,1.79935
1533,1.7988
1534,1.79824
1535,1.79763
1536,1.79697
1537,1.79641
1538,1.79576
1539,1.79513
1540,1.79451
1541,1.79395
1542,1.7933
1543,1.79266
1544,1.79204
1545,1.79153
1546,1.79101
1547,1.79044
1548,1.78992
1549,1.78936
1550,1.78876
1551,1.78812
1552,1.78763
1553,1.78712
1554,1.78661
1555,1.78596
1556,1.78534
1557,1.78472
1558,1.78405
1559,1.78354
1560,1.78298
1561,1.78239
1562,1.78189
1563,1.7814
1564,1.78077
1565,1.7802
1566,1.77959
1567,1.77897
1568,1.77835
1569,1.77777
1570,1.77719
1571,1.77665
1572,1.77601
1573,1.77547
1574,1.77496
1575,1.77438
1576,1.77383
1577,1.77331
1578,1.77267
1579,1.77208
1580,1.7715
1581,1.77094
1582,1.7704
1583,1.76982
1584,1.76924
1585,1.76868
1586,1.76812
1587,1.76763
1588,1.76714
1589,1.76659
1590,1.76607
1591,1.76552
1592,1.76488
1593,1.76436
1594,1.76379
1595,1.76319
1596,1.76259
1597,1.7621
1598,1.76156
1599,1.76103
1600,1.76046
1601,1.75984
1602,1.75925
1603,1.75872
1604,1.75806
1605,1.75747
1606,1.75685
1607,1.75632
1608,1.7557
1609,1.75512
1610,1.7545
1611,1.75398
1612,1.75334
1613,1.75268
1614,1.75207
1615,1.75153
1616,1.75098
1617,1.75032
1618,1.74978
1619,1.74923
1620,1.74869
1621,1.74812
1622,1.74751
1623,1.74701
1624,1.74641
1625,1.74591
1626,1.74531
1627,1.74479
1628,1.74429
1629,1.74365
1630,1.74309
1631,1.7425
1632,1.74191
1633,1.74127
1634,1.74064
1635,1.74007
1636,1.73951
1637,1.73894
1638,1.73832
1639,1.73782
1640,1.73717
1641,1.73662
1642,1.73609
1643,1.73546
1644,1.7349
1645,1.73427
1646,1.73378
1647,1.73317
1648,1.73255
1649,1.732
1650,1.73134
1651,1.73086
1652,1.73024
1653,1.72965
1654,1.72915
1655,1.7286
1656,1.72799
1657,1.72738
1658,1.7268
1659,1.72618
1660,1.72559
1661,1.72495
1662,1.72441
1663,1.72391
1664,1.72329
1665,1.72281
1666,1.72222
1667,1.7217
1668,1.72113
1669,1.72059
1670,1.72007
1671,1.7195
1672,1.7189
1673,1.71833
1674,1.7178
1675,1.71715
1676,1.71662
1677,1.71608
1678,1.71549
1679,1.71501
1680,1.7144
1681,1.71382
1682,1.71334
1683,1.71278
1684,1.71226
1685,1.71176
1686,1.71115
1687,1.71052
1688,1.70992
1689,1.70939
1690,1.7088
1691,1.70825
1692,1.70774
1693,1.70711
1694,1.70655
1695,1.70591
1696,1.70526
1697,1.70461
1698,1.70412
1699,1.70356
1700,1.70304
1701,1.70251
1702,1.70187
1703,1.70124
1704,1.70063
1705,1.70013
1706,1.69951
1707,1.69887
1708,1.69831
1709,1.69776
1710,1.69711
1711,1.69663
1712,1.69599
1713,1.69551
1714,1.69495
1715,1.69446
1716,1.69396
1717,1.69345
1718,1.69281
1719,1.69218
1720,1.69162
1721,1.69105
1722,1.69053
1723,1.68995
1724,1.6894
1725,1.68881
1726,1.68824
1727,1.6877
1728,1.68712
1729,1.68656
1730,1.68595
1731,1.68533
1732,1.6847
1733,1.68412
1734,1.68353
1735,1.68295
1736,1.68234
1737,1.68179
1738,1.68122
1739,1.68072
1740,1.68012
1741,1.67955
1742,1.67906
1743,1.67846
1744,1.67789
1745,1.6773
1746,1.6767
1747,1.67611
1748,1.6755
1749,1.67491
1750,1.67433
1751,1.67381
1752,1.67331
1753,1.67272
1754,1.6721
1755,1.67153
1756,1.67099
1757,1.67046
1758,1.66984
1759,1.6692
1760,1.66857
1761,1.668
1762,1.6674
1763,1.66679
1764,1.6663
1765,1.66577
1766,1.66525
1767,1.66463
1768,1.66403
1769,1.66343
1770,1.66296
1771,1.6624
1772,1.66188
1773,1.66139
1774,1.66089
1775,1.66028
1776,1.65967
1777,1.65905
1778,1.6585
1779,1.65792
1780,1.65736
1781,1.65673
1782,1.65611
1783,1.65552
1784,1.65494
1785,1.65434
1786,1.65385
1787,1.65321
1788,1.65274
1789,1.6521
1790,1.65148
1791,1.65085
1792,1.65029
1793,1.64971
1794,1.64913
1795,1.64854
1796,1.64792
1797,1.64729
1798,1.64673
1799,1.64615
1800,1.64556
1801,1.645
1802,1.64452
1803,1.6439
1804,1.6433
1805,1.64281
1806,1.64222
1807,1.64166
1808,1.6412
1809,1.64073
1810,1.64024
1811,1.63968
1812,1.63905
1813,1.63842
1814,1.63793
1815,1.63736
1816,1.6368
1817,1.63628
1818,1.63571
1819,1.63513
1820,1.63463
1821,1.63408
1822,1.63352
1823,1.63293
1824,1.63247
1825,1.63196
1826,1.63144
1827,1.63082
1828,1.63032
1829,1.62972
1830,1.62917
1831,1.62856
1832,1.62803
1833,1.62747
1834,1.62687
1835,1.62641
1836,1.62582
1837,1.62528
1838,1.62472
1839,1.62413
1840,1.62359
1841,1.62301
1842,1.62251
1843,1.62198
1844,1.62141
1845,1.62088
1846,1.62026
1847,1.61976
1848,1.61919
1849,1.61863
1850,1.61802
1851,1.61742
1852,1.6168
1853,1.61625
1854,1.6157
1855,1.61508
1856,1.6145
1857,1.61389
1858,1.61329
1859,1.61268
1860,1.61212
1861,1.6116
1862,1.61102
1863,1.61039
1864,1.60978
1865,1.60925
1866,1.60863
1867,1.60807
1868,1.60747
1869,1.60693
1870,1.60643
1871,1.60594
1872,1.60545
1873,1.60491
1874,1.60435
